Date,WinLoss,Open
7/31/2018,-74,
8/1/2018,-76,
8/2/2018,-78,
8/3/2018,-80,
8/4/2018,-80,
8/5/2018,-82,
8/6/2018,-80,
8/7/2018,-80,
8/8/2018,-78,
8/9/2018,-77,
8/10/2018,-77,
8/11/2018,-77,
8/12/2018,-75,
8/13/2018,-75,
8/14/2018,-75,
8/15/2018,-75,
8/16/2018,-75,
8/17/2018,-75,
8/18/2018,-73,
8/19/2018,-71,
8/20/2018,-72,
8/21/2018,-70,
8/22/2018,-70,
8/23/2018,-71,
8/24/2018,-69,
8/25/2018,-67,
8/26/2018,-67,
8/27/2018,-69,
8/28/2018,-69,
8/29/2018,-69,
8/30/2018,-70,
8/31/2018,-70,
9/1/2018,-68,
9/2/2018,-68,
9/3/2018,-68,
9/4/2018,-68,
9/5/2018,-68,
9/6/2018,-68,
9/7/2018,-68,
9/8/2018,-66,
9/9/2018,-66,
9/10/2018,-65,
9/11/2018,-67,
9/12/2018,-67,
9/13/2018,-66,
9/14/2018,-64,
9/15/2018,-66,
9/16/2018,-68,
9/17/2018,-67,
9/18/2018,-67,
9/19/2018,-67,
9/20/2018,-67,
9/21/2018,-65,
9/22/2018,-65,
9/23/2018,-65,
9/24/2018,-64,
9/25/2018,-64,
9/26/2018,-64,
9/27/2018,-62,
9/28/2018,-62,
9/29/2018,-60,
9/30/2018,-60,
10/1/2018,-60,
10/2/2018,-60,
10/3/2018,-59,
10/4/2018,-59,
10/5/2018,-60,
10/6/2018,-61,
10/7/2018,-62,
10/8/2018,-62,
10/9/2018,-63,
10/10/2018,-63,
10/11/2018,-62,
10/12/2018,-62,
10/13/2018,-64,
10/14/2018,-64,
10/15/2018,-64,
10/16/2018,-63,
10/17/2018,-65,
10/18/2018,-64,
10/19/2018,-64,
10/20/2018,-65,
10/21/2018,-66,
10/22/2018,-66,
10/23/2018,-65,
10/24/2018,-66,
10/25/2018,-67,
10/26/2018,-67,
10/27/2018,-66,
10/28/2018,-66,
10/29/2018,-66,
10/30/2018,-64,
10/31/2018,-64,
11/1/2018,-62,
11/2/2018,-62,
11/3/2018,-61,
11/4/2018,-60,
11/5/2018,-61,
11/6/2018,-60,
11/7/2018,-60,
11/8/2018,-61,
11/9/2018,-62,
11/10/2018,-62,
11/11/2018,-62,
11/12/2018,-61,
11/13/2018,-60,
11/14/2018,-60,
11/15/2018,-60,
