Date,WinLoss,Open
6/28/2018,8,
6/29/2018,10,
6/30/2018,8,
7/1/2018,12,
7/2/2018,9,
7/3/2018,10,
7/4/2018,10,
7/5/2018,10,
7/6/2018,9,
7/7/2018,11,
7/8/2018,12,
7/9/2018,10,
7/10/2018,9,
7/11/2018,12,
7/12/2018,10,
7/13/2018,10,
7/14/2018,13,
7/15/2018,8,
7/16/2018,9,
7/17/2018,10,
7/18/2018,10,
7/19/2018,9,
7/20/2018,10,
7/21/2018,9,
7/22/2018,10,
7/23/2018,8,
7/24/2018,11,
7/25/2018,10,
7/26/2018,12,
7/27/2018,9,
7/28/2018,10,
7/29/2018,12,
7/30/2018,10,
7/31/2018,10,
8/1/2018,8,
8/2/2018,8,
8/3/2018,8,
8/4/2018,10,
8/5/2018,8,
8/6/2018,12,
8/7/2018,10,
8/8/2018,12,
8/9/2018,11,
8/10/2018,10,
8/11/2018,10,
8/12/2018,12,
8/13/2018,10,
8/14/2018,10,
8/15/2018,10,
8/16/2018,10,
8/17/2018,10,
8/18/2018,12,
8/19/2018,12,
8/20/2018,9,
8/21/2018,12,
8/22/2018,10,
8/23/2018,9,
8/24/2018,12,
8/25/2018,12,
8/26/2018,10,
8/27/2018,8,
8/28/2018,10,
8/29/2018,10,
8/30/2018,9,
8/31/2018,10,
9/1/2018,12,
9/2/2018,10,
9/3/2018,10,
9/4/2018,10,
9/5/2018,10,
9/6/2018,10,
9/7/2018,10,
9/8/2018,12,
9/9/2018,10,
9/10/2018,11,
9/11/2018,8,
9/12/2018,10,
9/13/2018,11,
9/14/2018,12,
9/15/2018,8,
9/16/2018,8,
9/17/2018,11,
9/18/2018,10,
9/19/2018,10,
9/20/2018,10,
9/21/2018,12,
9/22/2018,10,
9/23/2018,10,
9/24/2018,11,
9/25/2018,10,
9/26/2018,10,
9/27/2018,12,
9/28/2018,10,
9/29/2018,12,
9/30/2018,10,
10/1/2018,10,
10/2/2018,10,
10/3/2018,11,
10/4/2018,10,
10/5/2018,9,
10/6/2018,9,
10/7/2018,9,
10/8/2018,10,
10/9/2018,9,
10/10/2018,10,
10/11/2018,11,
10/12/2018,10,
10/13/2018,8,
10/14/2018,10,
10/15/2018,10,
10/16/2018,11,
10/17/2018,8,
10/18/2018,11,
10/19/2018,10,
10/20/2018,9,
10/21/2018,9,
10/22/2018,10,
10/23/2018,11,
10/24/2018,9,
10/25/2018,9,
10/26/2018,10,
10/27/2018,11,
10/28/2018,10,
10/29/2018,10,
10/30/2018,12,
10/31/2018,10,
11/1/2018,12,
11/2/2018,10,
11/3/2018,11,
11/4/2018,11,
11/5/2018,9,
11/6/2018,11,
11/7/2018,10,
11/8/2018,9,
11/9/2018,9,
11/10/2018,10,
11/11/2018,10,
11/12/2018,11,
11/13/2018,11,
11/14/2018,10,
11/15/2018,10,
11/16/2018,10,
11/17/2018,11,
11/18/2018,9,
11/19/2018,11,
11/20/2018,10,
11/21/2018,10,
11/22/2018,10,
11/23/2018,10,
11/24/2018,10,
11/25/2018,10,
11/26/2018,10,
11/27/2018,10,
11/28/2018,10,
11/29/2018,8,
11/30/2018,10,
12/1/2018,10,
12/2/2018,9,
12/3/2018,10,
12/4/2018,9,
12/5/2018,10,
12/6/2018,9,
